x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.0,-1.326348464725943e-17,0.0,0.0,0.0,0.9999873705365098,0.005025810131429221,0.0,0.0,3.1315409910111973
-0.007418926638937187,0.006724388621407503,0.0,0.0,0.0,0.9999873705365098,0.005025810131429221,0.0,0.0,3.1315409910111973
-0.011585577604951122,0.015828994646886845,0.0,0.0,0.0,0.9999873705365098,0.005025810131429443,0.0,0.0,3.131540991011197
-0.011825015443786759,0.02583873683917042,0.0,0.0,0.0,0.9999873705365098,0.005025810131429221,0.0,0.0,3.1315409910111973
-0.008098540594297267,0.035131937270150834,0.0,0.0,0.0,0.9999873705365098,0.005025810131428999,0.0,0.0,3.1315409910111978
-0.0010099456526022786,0.04220303424043548,0.0,0.0,0.0,0.9999873705365098,0.005025810131429443,0.0,0.0,3.131540991011197
0.008292310382915235,0.04590647946796968,0.0,0.0,0.0,0.9999873705365098,0.005025810131429221,0.0,0.0,3.1315409910111973
0.01830115916896669,0.045642311128771436,0.0,0.0,0.0,0.9999873705365098,0.005025810131429443,0.0,0.0,3.131540991011197
0.02490194221612833,0.04530369313943809,0.0,0.0,0.0,0.9162276497290038,0.4006580760100385,0.0,0.0,2.317122696670021
0.026245169557865003,0.05519855566949952,0.0,0.0,0.0,0.9162276497290037,0.40065807601003894,0.0,0.0,2.3171226966700202
0.03198835125860079,0.0633672098527295,0.0,0.0,0.0,0.9162276497290037,0.40065807601003894,0.0,0.0,2.3171226966700202
0.04084482263779922,0.06797964188030425,0.0,0.0,0.0,0.9162276497290036,0.4006580760100391,0.0,0.0,2.31712269667002
0.05083049964492874,0.06800246182251778,0.0,0.0,0.0,0.9162276497290035,0.40065807601003933,0.0,0.0,2.3171226966700194
0.05970828908445363,0.06343038827727757,0.0,0.0,0.0,0.9162276497290037,0.40065807601003894,0.0,0.0,2.3171226966700202
0.06548802570730186,0.05528700679749305,0.0,0.0,0.0,0.9162276497290037,0.4006580760100387,0.0,0.0,2.3171226966700207
0.07254816839265424,0.0551317718663619,0.0,0.0,0.0,0.5292843089280196,0.8484445299031568,0.0,0.0,1.1155136201023763
0.08249479538366668,0.05627666006411838,0.0,0.0,0.0,0.5292843089280195,0.8484445299031569,0.0,0.0,1.115513620102376
0.092083747755182,0.053395893042796606,0.0,0.0,0.0,0.5292843089280199,0.8484445299031566,0.0,0.0,1.1155136201023772
0.09975262688091727,0.046958827198607986,0.0,0.0,0.0,0.5292843089280199,0.8484445299031566,0.0,0.0,1.1155136201023772
0.10425187391671528,0.03801427432357489,0.0,0.0,0.0,0.5292843089280199,0.8484445299031566,0.0,0.0,1.1155136201023772
0.10484837088421865,0.028019615926730638,0.0,0.0,0.0,0.5292843089280201,0.8484445299031564,0.0,0.0,1.1155136201023776
0.10144489626330622,0.01860334546185382,0.0,0.0,0.0,0.5292843089280203,0.8484445299031563,0.0,0.0,1.1155136201023779
0.09459597084285051,0.011299728399630145,0.0,0.0,0.0,0.5292843089280203,0.8484445299031563,0.0,0.0,1.1155136201023779
