x,y,z,qx,qy,qz,qw,roll,pitch,yaw
0.0,-1.326348464725943e-17,0.0,0.0,0.0,0.9693321799739457,0.24575419603123366,0.0,0.0,2.644997307106587
-0.008717509925531518,0.005062279700432649,0.0,0.0,0.0,0.971457340999633,0.2372143221180431,0.0,0.0,2.6625980179631266
-0.015316739989758247,0.012564779620000879,0.0,0.0,0.0,0.9748998130527468,0.2226440084747833,0.0,0.0,2.6925412202207366
-0.017781907853159015,0.022253092213729855,0.0,0.0,0.0,0.9747537696435223,0.2232825308118459,0.0,0.0,2.6912311981329147
-0.01616148321618235,0.03214869561885221,0.0,0.0,0.0,0.9719593948908911,0.23514875012071146,0.0,0.0,2.6668494400722107
-0.01132742237235398,0.04095033029540951,0.0,0.0,0.0,0.9667640213889122,0.2556703481984936,0.0,0.0,2.6245105865508807
-0.004001813677849018,0.04781911643043476,0.0,0.0,0.0,0.9587542860378353,0.28423620283855594,0.0,0.0,2.565173297207176
0.00517809342919174,0.05185377578504243,0.0,0.0,0.0,0.9475351827551388,0.3196514937258791,0.0,0.0,2.4908693306408742
0.015172680357229325,0.051833034494404094,0.0,0.0,0.0,0.9338031930396812,0.3577870828703796,0.0,0.0,2.4097986041267667
0.022792453662203185,0.045736578355565674,0.0,0.0,0.0,0.9236538061426899,0.38322793008615924,0.0,0.0,2.3550156260410726
0.021447882065910626,0.04774248165169655,0.0,0.0,0.0,0.8427538704623028,0.5382990932751124,0.0,0.0,2.0047575871882763
0.01930338980289942,0.056904698891144766,0.0,0.0,0.0,0.8381182883049852,0.5454885285766526,0.0,0.0,1.9876488703303448
0.02392168204218803,0.06577242467625666,0.0,0.0,0.0,0.8412289137592011,0.5406791235617615,0.0,0.0,1.9991042545669757
0.03163317934127364,0.07218769319445204,0.0,0.0,0.0,0.8380595409876341,0.5455787805254122,0.0,0.0,1.9874334947369081
0.041068247238769895,0.07560613844709932,0.0,0.0,0.0,0.8300188066005133,0.5577354038336275,0.0,0.0,1.958282806193756
0.051100642465923156,0.07561306362839261,0.0,0.0,0.0,0.8184731317838683,0.5745448046479114,0.0,0.0,1.9174968784718185
0.06049830197978484,0.07210992922893528,0.0,0.0,0.0,0.8058036815651239,0.5921827646732825,0.0,0.0,1.8740627380411385
0.06793089001601538,0.06539479126944003,0.0,0.0,0.0,0.7950265817439575,0.6065745908958918,0.0,0.0,1.8381028019118182
0.06829300088259871,0.05637932846850925,0.0,0.0,0.0,0.7568185879304167,0.6536249880191318,0.0,0.0,1.716863933266878
